index,id,year
353,ts21544,2010
354,tm176528,2005
355,tm102337,2010
356,tm36188,2008
357,tm88382,2004
358,ts31263,2001
359,tm47523,2001
360,tm24088,2006
361,tm137362,2003
362,tm177068,2005
363,tm82442,2007
364,tm90864,2010
365,tm101249,2010
366,ts687,2004
367,ts24028,2002
368,tm142564,2009
369,ts23752,2009
370,ts21706,2006
371,ts21740,2008
372,ts30356,2010
373,tm89684,2004
374,ts31514,2003
375,ts22005,2007
376,tm183963,2005
377,tm27268,2006
378,tm81270,2004
379,tm137342,2003
380,ts21688,2009
381,ts22318,2004
382,tm161263,2005
383,ts12815,2009
384,tm26638,2006
385,tm55303,2001
386,tm31189,2008
387,tm165593,2005
388,ts15986,2008
389,ts26322,2008
390,tm78767,2007
391,ts98340,2004
392,tm36644,2006
393,tm77649,2007
394,ts33559,2007
395,tm33113,2008
396,tm78189,2007
397,tm43399,2001
398,tm147211,2009
399,ts56549,2003
400,tm29555,2006
401,tm93225,2010
402,ts20398,2002
403,tm86189,2007
404,ts21421,2005
405,tm104880,2010
406,tm101334,2010
407,tm135451,2009
408,ts20526,2006
409,tm186461,2005
410,ts30083,2010
411,tm141707,2009
412,tm103095,2010
413,ts23835,2009
414,tm83786,2007
415,ts23808,2009
416,ts27459,2008
417,ts20544,2006
418,tm27168,2008
419,ts40702,2009
420,ts30288,2010
421,tm114476,2002
422,ts21967,2005
423,ts12701,2003
424,tm130574,2009
425,ts21695,2009
426,ts121176,2010
427,ts1893,2009
428,ts20535,2009
429,tm160800,2005
430,ts38159,2008
431,tm22493,2006
432,tm164557,2005
433,tm112381,2002
434,tm71119,2007
435,tm134235,2009
436,tm86995,2004
437,ts17028,2007
438,tm137530,2009
439,ts25765,2008
440,ts3666,2007
441,ts42914,2010
442,tm100688,2010
443,tm31290,2006
444,tm36475,2001
445,tm80059,2007
446,tm53999,2008
447,tm22636,2006
448,tm30289,2006
449,tm38896,2008
450,tm29269,2008
451,tm156001,2009
452,ts21664,2001
453,tm73058,2007
454,tm76835,2007
455,ts1464,2008
456,tm48083,2001
457,tm33981,2006
458,tm80339,2004
459,ts72322,2009
460,ts52849,2006
461,tm165259,2010
462,tm97544,2010
463,tm65142,2007
464,ts14102,2007
465,tm22342,2006
466,tm24576,2006
467,tm41508,2008
468,ts74928,2009
469,tm52352,2008
470,tm170873,2009
471,tm176297,2005
472,ts74931,2008
473,tm110923,2002
474,tm150521,2009
475,tm75022,2007
476,tm177687,2005
477,tm22989,2006
478,ts98252,2005
479,tm156575,2009
480,ts20358,2002
481,ts44053,2009
482,ts23319,2009
483,tm91046,2010
484,tm61056,2001
485,tm138497,2009
486,tm93612,2010
487,tm81461,2004
488,tm32915,2008
489,ts63295,2006
490,tm96037,2010
491,tm36164,2008
492,tm147494,2009
493,tm31564,2008
494,tm95238,2010
495,tm54147,2008
496,tm99776,2010
497,tm30170,2006
498,tm37945,2008
499,tm25029,2006
500,tm59880,2008
501,tm34524,2008
502,tm83175,2007
503,tm65839,2007
504,tm89936,2004
505,tm22540,2006
506,tm34846,2008
507,tm32885,2006
508,ts44663,2010
509,tm82765,2004
510,tm170169,2005
511,tm44749,2008
512,tm47325,2008
513,tm146887,2009
514,tm144345,2003
515,tm70222,2007
516,tm92977,2010
517,ts37200,2004
518,tm98975,2010
519,tm25842,2006
520,tm43179,2008
521,tm95434,2010
522,tm23441,2006
523,tm418157,2008
524,tm86051,2004
525,tm44634,2001
526,tm62369,2008
527,tm23077,2006
528,tm31335,2008
529,tm139349,2009
530,tm85243,2004
531,tm165809,2005
532,tm89764,2004
533,tm68191,2007
534,tm51493,2001
535,ts56589,2010
536,ts1413,2009
537,tm175687,2005
538,ts98353,2009
539,tm49405,2001
540,tm96168,2010
541,tm72587,2007
542,tm88366,2004
543,tm101684,2010
544,tm38454,2008
545,tm164389,2005
546,tm77863,2007
547,ts137477,2001
548,tm138902,2003
549,ts4866,2008
550,tm149209,2009
551,ts34414,2007
552,tm147686,2009
553,tm82718,2004
554,tm39557,2008
555,tm22558,2006
556,ts204466,2002
557,tm164591,2005
558,tm106625,2010
559,ts18653,2008
560,tm352863,2009
561,ts67595,2001
562,tm29731,2006
563,tm80455,2007
564,tm84348,2004
565,tm144835,2009
566,tm129971,2009
567,tm41953,2008
568,tm103133,2010
569,tm421611,2008
570,ts29199,2006
571,tm155761,2009
572,tm75544,2007
573,tm29028,2008
574,tm93004,2004
575,tm23977,2006
576,tm78790,2007
577,tm44530,2008
578,tm102848,2010
579,tm96595,2004
580,tm56428,2008
581,tm155774,2009
582,tm44378,2008
583,tm97982,2010
584,tm27484,2008
585,tm145243,2009
586,tm77348,2007
587,ts178360,2010
588,tm111226,2002
589,tm237621,2009
590,tm104349,2010
591,tm152724,2009
592,tm69694,2007
593,tm105278,2002
594,tm80487,2004
595,tm33729,2006
596,tm129763,2003
597,tm130301,2003
598,tm141117,2003
599,tm35652,2008
600,tm49865,2008
601,tm254745,2001
602,tm134140,2003
603,ts82592,2008
604,tm114504,2002
605,tm76029,2007
606,tm33067,2008
607,tm103732,2010
608,tm712151,2003
609,tm98475,2010
610,tm34924,2008
611,tm101609,2010
612,ts98316,2002
613,tm216753,2007
614,tm112235,2002
615,tm101540,2010
616,tm96052,2004
617,tm134407,2009
618,tm81864,2007
619,tm346951,2006
620,tm144263,2009
621,ts124246,2010
622,tm85689,2004
623,ts12444,2010
624,tm87909,2004
625,tm368679,2004
626,tm897538,2006
627,tm91323,2010
628,tm36636,2008
629,tm52176,2008
630,ts95855,2002
631,tm178555,2010
632,tm42831,2001
633,tm135795,2003
634,tm254052,2003
635,tm166293,2005
636,tm99450,2010
637,tm154375,2009
638,tm241875,2007
639,tm97325,2010
640,tm85563,2007
641,tm95507,2010
642,tm308960,2008
643,tm154802,2009
644,tm21155,2006
645,tm46867,2008
646,tm140653,2009
647,tm160596,2005
648,tm76399,2007
649,tm226362,2005
650,tm456581,2010
651,tm84316,2007
652,ts39604,2006
653,tm168869,2005
654,tm352243,2008
655,tm89012,2004
656,ts160526,2005
657,ts19384,2006
658,tm130999,2009
659,ts23353,2009
660,tm87672,2003
661,tm27275,2006
662,ts23797,2009
663,tm85369,2007
664,tm143510,2009
665,tm311516,2005
666,tm476570,2008
667,tm148041,2009
668,tm152413,2009
669,tm21956,2006
670,ts70843,2005
671,tm57586,2008
672,ts25707,2008
673,tm91125,2004
674,ts13411,2005
675,ts8614,2010
676,tm142153,2009
677,tm100106,2010
678,tm341561,2003
679,tm91176,2010
680,tm145690,2003
681,ts4924,2003
682,tm88343,2004
683,ts126804,2002
684,tm28024,2008
685,ts188031,2007
686,tm89054,2004
687,tm481594,2010
688,ts29581,2010
689,tm1077037,2010
690,tm639940,2010
691,tm404676,2006
692,tm598375,2008
693,ts82583,2010
694,ts56595,2008
695,tm92671,2010
696,ts86241,2004
697,tm252951,2006
698,tm628693,2009
699,tm340006,2010
700,ts8175,2012
701,tm170758,2011
702,tm166064,2011
703,ts20564,2011
704,ts278,2011
705,tm170442,2011
706,tm41792,2012
707,ts21580,2012
708,tm50018,2012
709,ts20660,2011
710,ts21806,2011
711,tm60292,2012
712,ts27680,2012
713,tm164877,2011
714,ts21599,2012
715,ts33338,2011
716,tm166548,2011
717,ts32835,2011
718,tm32982,2012
719,ts17598,2012
720,tm161802,2011
721,tm158304,2011
722,tm72140,2012
723,tm37153,2012
724,tm160433,2011
725,tm39896,2012
726,tm178201,2011
727,tm59428,2012
728,ts20457,2012
729,ts20429,2012
730,tm176356,2011
731,tm176507,2011
732,ts6506,2011
733,ts20458,2012
734,tm74848,2012
735,ts34087,2011
736,tm68272,2012
737,tm60844,2012
738,tm160132,2011
739,ts27468,2012
740,tm172716,2011
741,tm278681,2011
742,tm40319,2012
743,ts20556,2011
744,tm173624,2011
745,ts9794,2012
746,ts20500,2012
747,tm62210,2012
748,tm167232,2011
749,ts34151,2011
750,tm178395,2011
751,ts11151,2011
752,tm173195,2011
753,ts9246,2011
754,ts20648,2011
755,ts19779,2012
756,tm175346,2011
757,tm160371,2011
758,ts7708,2011
759,ts27586,2012
760,ts18551,2012
761,ts76614,2012
762,tm174256,2011
763,ts34740,2011
764,ts22249,2012
765,tm165995,2011
766,tm168921,2011
767,tm178323,2011
768,tm106278,2011
769,ts36647,2012
770,tm72845,2012
771,ts34921,2011
772,tm59590,2012
773,ts35426,2011
774,tm174683,2011
775,ts27835,2012
776,tm182586,2011
777,tm39313,2012
778,ts45996,2012
779,ts55532,2012
780,tm69386,2012
781,tm38064,2012
782,ts34737,2011
783,ts21081,2012
784,tm28171,2012
785,tm161904,2011
786,tm56296,2012
787,tm171292,2011
788,tm183039,2012
789,tm160361,2011
790,tm34331,2012
791,tm182125,2011
792,tm238681,2012
793,tm72251,2012
794,tm183547,2012
795,tm53625,2012
796,tm53034,2012
797,tm174190,2011
798,tm164353,2011
799,ts81858,2011
800,tm165712,2011
801,ts158608,2012
802,ts215037,2011
803,tm68436,2012
804,ts39093,2012
805,ts26776,2012
806,tm52062,2012
807,tm176111,2011
808,ts33349,2011
809,tm31739,2012
810,tm170395,2011
811,tm177258,2011
812,tm177044,2011
813,tm49451,2012
814,ts191698,2011
815,tm54780,2012
816,tm176128,2011
817,tm177958,2011
818,tm40860,2012
819,ts19165,2012
820,tm63368,2012
821,ts58528,2011
822,tm183037,2011
823,tm183176,2011
824,tm37175,2012
825,tm181856,2011
826,tm178106,2011
827,tm175909,2011
828,tm74031,2012
829,tm57610,2012
830,ts27875,2012
831,ts6879,2012
832,tm59289,2012
833,tm53829,2012
834,tm47171,2012
835,tm65765,2012
836,tm70528,2012
837,tm161804,2011
838,tm169128,2011
839,ts39112,2011
840,ts60663,2011
841,tm630933,2011
842,tm174518,2011
843,tm180532,2011
844,tm35700,2012
845,tm67444,2012
846,tm57382,2012
847,tm172883,2011
848,tm164090,2011
849,tm71992,2012
850,tm59372,2012
851,tm160021,2011
852,tm54371,2012
853,tm38013,2012
854,tm39606,2012
855,tm53395,2012
856,tm66725,2012
857,ts167724,2012
858,tm48579,2012
859,tm159593,2011
860,tm34746,2012
861,tm167241,2011
862,tm161632,2011
863,tm50798,2012
864,tm31948,2012
865,tm179451,2011
866,tm162592,2011
867,tm37573,2012
868,ts41114,2011
869,tm30278,2012
870,tm33601,2012
871,tm48239,2012
872,tm56734,2012
873,tm166810,2011
874,tm172353,2011
875,tm169053,2011
876,tm166740,2011
877,tm34142,2012
878,tm168751,2011
879,tm38331,2012
880,ts32460,2011
881,tm98735,2011
882,tm44615,2012
883,tm182026,2011
884,ts32561,2011
885,tm529723,2012
886,tm60213,2012
887,tm70652,2012
888,tm42306,2012
889,tm53360,2012
890,tm69915,2012
891,tm29400,2012
892,ts69208,2012
893,tm946846,2012
894,tm339197,2012
895,tm34646,2012
896,ts99814,2011
897,tm200838,2012
898,tm481620,2012
899,tm57256,2012
900,ts44064,2011
901,tm172211,2011
902,ts128422,2012
903,tm165932,2011
904,tm172504,2011
905,tm224577,2012
906,tm1077038,2011
907,tm481509,2011
908,tm159623,2011
909,ts39465,2012
910,tm51412,2012
911,tm235979,2011
912,tm361958,2011
913,ts37864,2011
914,tm181366,2011
915,ts20837,2014
916,ts20110,2013
917,ts20682,2013
918,ts1639,2013
919,ts20351,2014
920,tm140389,2014
921,ts11188,2014
922,tm151663,2014
923,ts20292,2014
924,ts16045,2014
925,tm169422,2013
926,tm169719,2013
927,tm140877,2014
928,tm171042,2013
929,ts8146,2014
930,tm148147,2014
931,ts21374,2014
932,tm183523,2013
933,tm176864,2013
934,ts20248,2013
935,tm134967,2014
936,tm143227,2013
937,tm160621,2013
938,tm180572,2013
939,ts14583,2014
940,ts6,2013
941,ts20108,2014
942,tm148671,2014
943,tm182429,2013
944,tm153284,2014
945,ts20823,2013
946,ts20824,2013
947,ts21367,2014
948,tm151807,2014
949,tm145655,2014
950,ts20280,2014
951,ts35682,2013
952,ts20261,2014
953,tm161525,2013
954,tm175843,2013
955,ts34950,2013
956,tm181270,2013
957,ts20791,2014
958,ts20288,2014
959,tm168400,2013
960,ts2727,2013
961,tm237143,2013
962,tm176630,2013
963,ts32218,2013
964,ts20097,2013
965,tm178712,2013
966,ts314002,2014
967,ts20281,2013
968,ts20014,2014
969,tm187979,2013
970,ts35570,2014
971,ts32271,2013
972,ts4213,2013
973,tm161282,2014
974,tm165521,2013
975,tm184608,2013
976,tm144046,2014
977,ts20917,2014
978,ts35282,2013
979,tm161029,2014
980,tm143474,2014
981,tm140342,2014
982,tm141648,2014
983,ts20336,2014
984,ts36836,2013
985,tm142856,2014
986,ts22426,2014
987,tm181081,2013
988,ts42168,2014
989,ts98110,2013
990,tm178211,2013
991,tm144121,2014
992,ts22383,2013
993,tm151447,2014
994,ts11794,2013
995,tm154797,2014
996,ts20310,2014
997,tm159796,2014
998,tm181533,2013
999,ts35244,2014
1000,tm469911,2013
1001,ts82979,2014
1002,tm148976,2014
1003,tm143642,2014
1004,ts10206,2013
1005,ts20709,2013
1006,ts32060,2013
1007,tm162271,2013
1008,tm166628,2013
1009,tm171228,2013
1010,tm136601,2014
1011,tm143757,2014
1012,tm143372,2014
1013,tm71148,2013
1014,tm161562,2014
1015,tm151716,2014
1016,ts22445,2013
1017,tm180599,2013
1018,ts20790,2014
1019,tm171965,2013
1020,tm185208,2013
1021,ts20883,2014
1022,tm167944,2013
1023,tm149038,2014
1024,ts33590,2013
1025,tm159362,2014
1026,ts21368,2014
1027,ts2161,2013
1028,tm172710,2013
1029,tm157085,2014
1030,tm174289,2013
1031,tm187390,2013
1032,tm171929,2013
1033,tm147913,2014
1034,tm170919,2013
1035,tm180643,2013
1036,ts34066,2013
1037,tm152843,2014
1038,tm177223,2013
1039,tm152273,2014
1040,tm2269,2014
1041,tm138431,2014
1042,tm152904,2014
1043,tm35895,2013
1044,tm176481,2013
1045,ts53641,2013
1046,ts37187,2014
1047,tm199408,2014
1048,ts58137,2013
1049,ts75104,2014
1050,tm144021,2014
1051,ts521,2013
1052,ts33840,2013
1053,tm168685,2013
1054,tm182275,2013
1055,ts88394,2014
1056,ts58010,2014
1057,tm182969,2013
1058,tm148910,2014
1059,tm143363,2014
1060,tm139617,2014
1061,ts83239,2014
1062,ts16117,2013
1063,tm158671,2014
1064,tm165504,2013
1065,tm148662,2014
1066,ts154625,2014
1067,ts76743,2013
1068,tm158980,2014
1069,tm148597,2014
1070,ts57744,2014
1071,tm145791,2014
1072,tm155291,2014
1073,tm156811,2014
1074,tm150033,2014
1075,ts75833,2014
1076,tm180802,2013
1077,ts3799,2014
1078,ts35628,2014
1079,ts20781,2014
1080,tm151210,2014
1081,tm149578,2014
1082,tm182534,2013
1083,tm360904,2013
1084,tm186054,2013
1085,tm235553,2014
1086,tm147518,2013
1087,tm183706,2013
1088,tm178513,2013
1089,tm182322,2013
1090,tm236725,2014
1091,tm153055,2014
1092,tm142630,2014
1093,tm185797,2013
1094,tm154729,2014
1095,tm148457,2014
1096,tm145627,2014
1097,tm158302,2014
1098,tm140334,2014
1099,ts121189,2014
1100,tm186161,2013
1101,ts34074,2013
1102,tm209037,2014
1103,tm348393,2014
1104,tm151927,2014
1105,ts122290,2014
1106,tm169669,2013
1107,tm175812,2013
1108,tm181550,2013
1109,tm228574,2014
1110,tm149914,2014
1111,tm145216,2014
1112,tm149747,2014
1113,tm140911,2014
1114,tm158692,2013
1115,tm137379,2014
1116,tm587320,2013
1117,tm160034,2014
1118,tm158436,2014
1119,tm172027,2013
1120,tm146657,2014
1121,ts82860,2014
1122,tm159819,2014
1123,tm183805,2013
1124,tm458034,2014
1125,tm175954,2013
1126,tm182227,2013
1127,tm159094,2014
1128,ts36127,2013
1129,tm157609,2014
1130,tm179328,2013
1131,tm151860,2014
1132,tm139922,2014
1133,tm184511,2013
1134,ts67797,2014
1135,tm157461,2014
1136,tm178992,2013
1137,tm144541,2014
1138,tm215339,2013
1139,tm177645,2013
1140,tm200926,2014
1141,tm181092,2013
1142,tm183002,2013
1143,tm144557,2014
1144,tm205684,2013
1145,tm167107,2013
1146,tm143299,2014
1147,tm175753,2013
1148,tm185736,2013
1149,tm460055,2013
1150,tm182580,2013
1151,tm157681,2014
1152,tm197423,2014
1153,tm162259,2014
1154,tm167342,2013
1155,tm169054,2013
1156,tm169294,2013
1157,tm178234,2013
1158,tm132675,2014
1159,tm155014,2014
1160,tm188290,2013
1161,tm187505,2013
1162,tm155051,2014
1163,tm183654,2013
1164,tm176900,2013
1165,tm179248,2013
1166,tm158546,2014
1167,tm250364,2013
1168,tm157062,2014
1169,tm144451,2014
1170,tm171891,2013
1171,tm242276,2014
1172,tm187118,2013
1173,tm202914,2014
1174,tm159296,2014
1175,tm186408,2013
1176,tm156397,2014
1177,tm166723,2013
1178,tm155507,2014
1179,tm159701,2014
1180,tm163066,2013
1181,tm323262,2013
1182,ts20238,2014
1183,tm149541,2014
1184,tm181051,2014
1185,tm146144,2014
1186,tm681614,2013
1187,tm147908,2014
1188,tm150962,2014
1189,tm1194608,2014
1190,tm577690,2014
1191,tm136036,2014
1192,tm177224,2013
1193,tm1036195,2013
1194,tm142852,2014
1195,tm180738,2013
1196,ts271005,2014
1197,ts32752,2013
1198,tm188108,2013
1199,tm147405,2014
1200,ts144527,2014
1201,tm157286,2014
1202,tm250247,2013
1203,tm157783,2014
1204,ts107543,2014
1205,tm177376,2013
1206,tm145658,2014
1207,tm610571,2014
1208,tm528044,2013
1209,tm176553,2013
1210,tm175364,2013
1211,tm529733,2013
1212,tm138280,2014
1213,ts261583,2013
1214,tm175577,2013
1215,tm481846,2014
1216,tm528043,2013
1217,ts8,2015
1218,ts36577,2015
1219,ts38796,2016
1220,ts21867,2015
1221,ts37143,2015
1222,ts35251,2015
1223,ts41766,2016
1224,ts36885,2015
1225,ts37539,2015
1226,ts37490,2015
1227,ts41961,2016
1228,ts42069,2016
1229,ts37866,2015
1230,tm232579,2016
1231,tm243100,2016
1232,ts38304,2015
1233,ts36952,2015
1234,tm150928,2015
1235,ts35793,2015
1236,ts39007,2016
1237,ts35201,2015
1238,ts36147,2016
1239,ts36550,2016
1240,tm242705,2016
1241,tm120108,2016
1242,tm206698,2016
1243,ts38199,2015
1244,tm239727,2016
1245,tm199607,2015
1246,ts53051,2016
1247,ts47714,2016
1248,ts21869,2015
1249,tm204163,2016
1250,tm135307,2015
1251,ts42170,2016
1252,ts70529,2016
1253,tm138905,2015
1254,tm137693,2015
1255,ts18010,2015
1256,ts38718,2016
1257,tm136465,2015
1258,ts42120,2016
1259,tm195209,2015
1260,ts36631,2015
1261,ts42062,2015
1262,ts41956,2016
1263,ts52922,2016
1264,ts36015,2015
1265,ts21981,2015
1266,ts38710,2016
1267,tm120609,2016
1268,ts35253,2015
1269,ts35554,2015
1270,ts38090,2015
1271,tm233377,2016
1272,ts42014,2016
1273,tm193769,2015
1274,ts35563,2015
1275,ts36129,2015
1276,tm233425,2016
1277,ts42077,2016
1278,ts42687,2015
1279,ts38734,2016
1280,tm143984,2016
1281,tm212927,2016
1282,ts53099,2016
1283,ts53664,2015
1284,tm143085,2015
1285,tm209987,2016
1286,ts42022,2016
1287,ts38415,2016
1288,tm137002,2015
1289,ts43209,2015
1290,tm239676,2016
1291,ts42169,2016
1292,ts41289,2016
1293,tm138297,2016
1294,ts38511,2016
1295,tm245271,2016
1296,tm134791,2015
1297,ts21986,2015
1298,ts41149,2016
1299,ts52829,2016
1300,tm135106,2016
1301,ts35775,2015
1302,ts41975,2016
1303,tm196125,2015
1304,ts41490,2016
1305,ts36177,2015
1306,ts37464,2015
1307,tm196296,2016
1308,ts37971,2015
1309,ts21885,2015
1310,tm233214,2016
1311,ts38783,2016
1312,tm219233,2016
1313,ts36983,2016
1314,ts41963,2016
1315,ts52838,2016
1316,ts38204,2015
1317,tm199700,2015
1318,tm200126,2015
1319,tm132273,2015
1320,ts36046,2015
1321,ts36545,2015
1322,tm139532,2016
1323,ts36856,2015
1324,tm219248,2016
1325,tm220594,2015
1326,ts35362,2015
1327,tm239743,2016
1328,tm138614,2015
1329,tm205890,2016
1330,tm139841,2015
1331,tm233521,2016
1332,ts35354,2015
1333,tm244788,2016
1334,tm208622,2015
1335,ts38758,2016
1336,tm204035,2016
1337,ts41913,2016
1338,tm134516,2016
1339,ts42655,2016
1340,ts3844,2015
1341,ts53287,2016
1342,tm136321,2015
1343,tm233465,2016
1344,ts42156,2016
1345,tm136257,2015
1346,ts41906,2016
1347,ts38116,2015
1348,tm140843,2015
1349,tm238722,2016
1350,ts35256,2015
1351,ts53249,2016
1352,tm239683,2016
1353,tm147082,2015
1354,ts42043,2016
1355,tm206512,2015
1356,tm200690,2016
1357,tm155102,2015
1358,tm205812,2016
1359,ts35577,2015
1360,tm235405,2015
1361,tm245378,2016
